region	chr	midPos	Nsites
(2625,3232)(490064,589712)(490000,590000)	chr1	540000	609	0.109375
(2679,3327)(500009,599851)(500000,600000)	chr1	550000	650	0.108119
(2729,3404)(510036,609641)(510000,610000)	chr1	560000	677	0.108364
(2767,3506)(520435,619980)(520000,620000)	chr1	570000	741	0.104037
(2819,3594)(530433,629858)(530000,630000)	chr1	580000	777	0.100445
(2904,3676)(540023,639908)(540000,640000)	chr1	590000	774	0.116122
(2946,3713)(550042,649485)(550000,650000)	chr1	600000	769	0.112176
(2976,3739)(560890,659509)(560000,660000)	chr1	610000	765	0.104042
(3083,3779)(570031,668743)(570000,670000)	chr1	620000	698	0.100128
(3163,3819)(580021,679892)(580000,680000)	chr1	630000	658	0.090683
(3233,3895)(590012,689979)(590000,690000)	chr1	640000	664	0.092609
(3328,3957)(600124,699909)(600000,700000)	chr1	650000	631	0.101560
(3405,4002)(610109,709973)(610000,710000)	chr1	660000	599	0.108067
(3507,4068)(620171,719995)(620000,720000)	chr1	670000	563	0.114315
(3595,4105)(630340,729865)(630000,730000)	chr1	680000	512	0.144159
(3677,4202)(640051,739990)(640000,740000)	chr1	690000	527	0.158416
(3714,4273)(650361,749944)(650000,750000)	chr1	700000	561	0.185530
(3740,4369)(660047,759969)(660000,760000)	chr1	710000	631	0.200030
(3780,4493)(670269,769960)(670000,770000)	chr1	720000	715	0.191054
(3820,4575)(680041,779916)(680000,780000)	chr1	730000	757	0.187949
(3896,4688)(690061,789182)(690000,790000)	chr1	740000	794	0.180507
(3958,4766)(700665,799593)(700000,800000)	chr1	750000	810	0.174293
(4003,4919)(710161,809881)(710000,810000)	chr1	760000	918	0.161005
(4069,4953)(721593,819144)(720000,820000)	chr1	770000	886	0.160941
(4106,5019)(730214,829147)(730000,830000)	chr1	780000	915	0.151957
(4203,5117)(740021,839763)(740000,840000)	chr1	790000	916	0.137760
(4274,5203)(750204,848909)(750000,850000)	chr1	800000	931	0.118099
(4370,5263)(760240,859961)(760000,860000)	chr1	810000	895	0.097626
(4494,5355)(770041,869991)(770000,870000)	chr1	820000	863	0.098675
(4576,5474)(780004,879556)(780000,880000)	chr1	830000	900	0.091569
(4689,5555)(790499,889884)(790000,890000)	chr1	840000	868	0.089249
(4767,5591)(800002,898385)(800000,900000)	chr1	850000	826	0.087738
(4920,5633)(810018,909835)(810000,910000)	chr1	860000	715	0.113790
(4954,5713)(820051,919923)(820000,920000)	chr1	870000	761	0.119396
(5020,5816)(830311,929969)(830000,930000)	chr1	880000	798	0.110460
(5118,5869)(840300,938591)(840000,940000)	chr1	890000	753	0.107307
(5204,5916)(850079,949853)(850000,950000)	chr1	900000	714	0.108547
(5264,5945)(860049,959067)(860000,960000)	chr1	910000	683	0.113222
(5356,5949)(870031,969056)(870000,970000)	chr1	920000	595	0.112317
(5475,6010)(880150,979920)(880000,980000)	chr1	930000	537	0.128984
(5556,6037)(890209,989632)(890000,990000)	chr1	940000	483	0.139428
(5592,6050)(904207,997482)(900000,1000000)	chr1	950000	460	0.152913
(5634,6060)(910042,1009824)(910000,1010000)	chr1	960000	428	0.125191
(5714,6065)(920004,1019939)(920000,1020000)	chr1	970000	353	0.124669
(5817,6116)(930028,1029932)(930000,1030000)	chr1	980000	301	0.146893
(5870,6160)(941039,1039955)(940000,1040000)	chr1	990000	292	0.160224
(5917,6199)(950000,1049307)(950000,1050000)	chr1	1000000	284	0.170045
(5946,6250)(964208,1059661)(960000,1060000)	chr1	1010000	306	0.165878
(5950,6270)(970072,1069691)(970000,1070000)	chr1	1020000	322	0.169599
(6011,6336)(980022,1079982)(980000,1080000)	chr1	1030000	327	0.156284
(6038,6401)(990571,1089956)(990000,1090000)	chr1	1040000	365	0.177305
(6051,6514)(1003829,1099916)(1000000,1100000)	chr1	1050000	465	0.153713
(6061,6544)(1010209,1109418)(1010000,1110000)	chr1	1060000	485	0.143027
(6066,6660)(1020474,1119539)(1020000,1120000)	chr1	1070000	596	0.118068
(6117,6732)(1030205,1129217)(1030000,1130000)	chr1	1080000	617	0.105921
(6161,6858)(1040039,1139825)(1040000,1140000)	chr1	1090000	699	0.085317
(6200,6965)(1050206,1149292)(1050000,1150000)	chr1	1100000	767	0.073960
(6251,7031)(1060619,1159486)(1060000,1160000)	chr1	1110000	782	0.068235
(6271,7044)(1070145,1169766)(1070000,1170000)	chr1	1120000	775	0.063107
(6337,7050)(1080062,1178899)(1080000,1180000)	chr1	1130000	715	0.059446
(6402,7065)(1090185,1187202)(1090000,1190000)	chr1	1140000	665	0.038086
(6515,7090)(1100122,1197885)(1100000,1200000)	chr1	1150000	577	0.022386
(6545,7100)(1111463,1209942)(1110000,1210000)	chr1	1160000	557	0.021104
(6661,7108)(1121089,1217921)(1120000,1220000)	chr1	1170000	449	0.021021
(6733,7136)(1130467,1229221)(1130000,1230000)	chr1	1180000	405	0.021139
(6859,7183)(1140196,1236369)(1140000,1240000)	chr1	1190000	326	0.026202
(6966,7183)(1150179,1236369)(1150000,1250000)	chr1	1200000	219	0.029188
(7032,7183)(1160325,1236369)(1160000,1260000)	chr1	1210000	153	0.032585
(7045,7183)(1170043,1236369)(1170000,1270000)	chr1	1220000	140	0.033009
(7051,7183)(1184984,1236369)(1180000,1280000)	chr1	1230000	134	0.032650
(7066,7193)(1190443,1289842)(1190000,1290000)	chr1	1240000	129	0.035589
(7091,7208)(1201080,1297998)(1200000,1300000)	chr1	1250000	119	0.038565
(7101,7258)(1211385,1309677)(1210000,1310000)	chr1	1260000	159	0.031844
(7109,7322)(1223750,1319914)(1220000,1320000)	chr1	1270000	215	0.033824
(7137,7364)(1230448,1329910)(1230000,1330000)	chr1	1280000	229	0.036588
(7184,7465)(1283910,1339822)(1240000,1340000)	chr1	1290000	283	0.030714
(7184,7535)(1283910,1349094)(1250000,1350000)	chr1	1300000	353	0.029647
(7184,7597)(1283910,1359867)(1260000,1360000)	chr1	1310000	415	0.030889
(7184,7637)(1283910,1369502)(1270000,1370000)	chr1	1320000	455	0.030278
(7184,7696)(1283910,1379771)(1280000,1380000)	chr1	1330000	514	0.029171
(7194,7805)(1290815,1389997)(1290000,1390000)	chr1	1340000	613	0.030002
(7209,7901)(1300212,1399937)(1300000,1400000)	chr1	1350000	694	0.031261
(7259,8016)(1310446,1409979)(1310000,1410000)	chr1	1360000	759	0.042939
(7323,8097)(1320127,1419304)(1320000,1420000)	chr1	1370000	776	0.049201
(7365,8101)(1330194,1429893)(1330000,1430000)	chr1	1380000	738	0.049113
(7466,8196)(1340458,1439969)(1340000,1440000)	chr1	1390000	732	0.049944
(7536,8234)(1350026,1449983)(1350000,1450000)	chr1	1400000	700	0.051876
(7598,8276)(1360035,1458696)(1360000,1460000)	chr1	1410000	680	0.055866
(7638,8329)(1370077,1469805)(1370000,1470000)	chr1	1420000	693	0.061399
(7697,8347)(1380083,1479128)(1380000,1480000)	chr1	1430000	652	0.068138
(7806,8370)(1390031,1488893)(1390000,1490000)	chr1	1440000	566	0.077692
(7902,8382)(1400024,1499884)(1400000,1500000)	chr1	1450000	482	0.084910
(8017,8388)(1410022,1508861)(1410000,1510000)	chr1	1460000	373	0.082227
(8098,8451)(1429457,1519481)(1420000,1520000)	chr1	1470000	355	0.077485
(8102,8474)(1430030,1529799)(1430000,1530000)	chr1	1480000	374	0.083803
(8197,8500)(1440201,1539553)(1440000,1540000)	chr1	1490000	305	0.101621
(8235,8517)(1450505,1549918)(1450000,1550000)	chr1	1500000	284	0.107807
(8277,8598)(1460101,1559997)(1460000,1560000)	chr1	1510000	323	0.104208
(8330,8698)(1470149,1569565)(1470000,1570000)	chr1	1520000	370	0.101029
(8348,8836)(1480265,1579684)(1480000,1580000)	chr1	1530000	490	0.116073
(8371,8894)(1490084,1589940)(1490000,1590000)	chr1	1540000	525	0.130272
(8383,8941)(1500836,1599843)(1500000,1600000)	chr1	1550000	560	0.133420
(8389,9003)(1511212,1609960)(1510000,1610000)	chr1	1560000	616	0.128490
(8452,9068)(1520464,1619360)(1520000,1620000)	chr1	1570000	618	0.128050
(8475,9214)(1530055,1629948)(1530000,1630000)	chr1	1580000	741	0.128467
(8501,9286)(1546568,1639976)(1540000,1640000)	chr1	1590000	787	0.124001
(8518,9378)(1550082,1649918)(1550000,1650000)	chr1	1600000	862	0.116951
(8599,9473)(1560219,1658816)(1560000,1660000)	chr1	1610000	876	0.111642
(8699,9473)(1570154,1658816)(1570000,1670000)	chr1	1620000	776	0.114227
(8837,9494)(1580237,1679910)(1580000,1680000)	chr1	1630000	659	0.102081
(8895,9544)(1590346,1689693)(1590000,1690000)	chr1	1640000	651	0.101204
(8942,9600)(1600031,1699799)(1600000,1700000)	chr1	1650000	660	0.118783
(9004,9655)(1610055,1709642)(1610000,1710000)	chr1	1660000	653	0.152608
(9069,9713)(1620742,1719734)(1620000,1720000)	chr1	1670000	646	0.167481
(9215,9773)(1630235,1729863)(1630000,1730000)	chr1	1680000	560	0.167641
(9287,9816)(1640625,1739599)(1640000,1740000)	chr1	1690000	531	0.174095
(9379,9874)(1650093,1749976)(1650000,1750000)	chr1	1700000	497	0.183314
(9474,9961)(1678363,1759943)(1660000,1760000)	chr1	1710000	489	0.189781
(9474,10058)(1678363,1769914)(1670000,1770000)	chr1	1720000	586	0.177032
(9495,10125)(1680025,1779986)(1680000,1780000)	chr1	1730000	632	0.172694
(9545,10143)(1690187,1789803)(1690000,1790000)	chr1	1740000	600	0.163308
(9601,10190)(1700168,1799972)(1700000,1800000)	chr1	1750000	591	0.139517
(9656,10202)(1710290,1809813)(1710000,1810000)	chr1	1760000	548	0.102303
(9714,10219)(1720176,1818787)(1720000,1820000)	chr1	1770000	507	0.084365
(9774,10276)(1730233,1829957)(1730000,1830000)	chr1	1780000	504	0.080571
(9817,10289)(1740009,1839996)(1740000,1840000)	chr1	1790000	474	0.080238
(9875,10334)(1750110,1849840)(1750000,1850000)	chr1	1800000	461	0.077998
(9962,10388)(1760059,1859697)(1760000,1860000)	chr1	1810000	428	0.077128
(10059,10459)(1770377,1869818)(1770000,1870000)	chr1	1820000	402	0.068594
(10126,10539)(1780001,1879329)(1780000,1880000)	chr1	1830000	415	0.059441
(10144,10628)(1790271,1889510)(1790000,1890000)	chr1	1840000	486	0.058954
(10191,10744)(1800016,1899960)(1800000,1900000)	chr1	1850000	555	0.069660
(10203,10915)(1811666,1909986)(1810000,1910000)	chr1	1860000	714	0.074793
(10220,11009)(1820467,1919905)(1820000,1920000)	chr1	1870000	791	0.071691
(10277,11031)(1837629,1921637)(1830000,1930000)	chr1	1880000	756	0.070485
(10290,11140)(1840116,1939992)(1840000,1940000)	chr1	1890000	852	0.066823
(10335,11284)(1850436,1949897)(1850000,1950000)	chr1	1900000	951	0.068158
(10389,11437)(1860169,1959961)(1860000,1960000)	chr1	1910000	1050	0.070273
(10460,11516)(1870494,1969977)(1870000,1970000)	chr1	1920000	1058	0.071059
(10540,11557)(1883045,1979469)(1880000,1980000)	chr1	1930000	1019	0.072629
(10629,11627)(1890247,1989999)(1890000,1990000)	chr1	1940000	1000	0.072868
(10745,11742)(1900204,1999982)(1900000,2000000)	chr1	1950000	999	0.067147
(10916,11829)(1910229,2009886)(1910000,2010000)	chr1	1960000	915	0.060785
(11010,11960)(1920261,2019659)(1920000,2020000)	chr1	1970000	952	0.059092
(11032,12128)(1934911,2029876)(1930000,2030000)	chr1	1980000	1098	0.058825
(11141,12232)(1940137,2037288)(1940000,2040000)	chr1	1990000	1093	0.062116
(11285,12246)(1950128,2046312)(1950000,2050000)	chr1	2000000	963	0.060565
(11438,12254)(1960031,2057300)(1960000,2060000)	chr1	2010000	818	0.058340
(11517,12266)(1970126,2068261)(1970000,2070000)	chr1	2020000	751	0.057121
(11558,12277)(1980764,2073498)(1980000,2080000)	chr1	2030000	721	0.057580
(11628,12278)(1990071,2083230)(1990000,2090000)	chr1	2040000	652	0.057351
(11743,12278)(2000073,2083230)(2000000,2100000)	chr1	2050000	537	0.056813
(11830,12295)(2010003,2108595)(2010000,2110000)	chr1	2060000	467	0.059569
(11961,12314)(2020263,2119397)(2020000,2120000)	chr1	2070000	355	0.068307
(12129,12337)(2030151,2127125)(2030000,2130000)	chr1	2080000	210	0.076397
(12233,12351)(2041910,2137893)(2040000,2140000)	chr1	2090000	120	0.070638
(12247,12390)(2054713,2149992)(2050000,2150000)	chr1	2100000	145	0.071726
(12255,12466)(2060431,2153737)(2060000,2160000)	chr1	2110000	213	0.077213
(12267,12467)(2070327,2167699)(2070000,2170000)	chr1	2120000	202	0.077322
(12278,12468)(2083230,2175536)(2080000,2180000)	chr1	2130000	192	0.077745
(12279,12469)(2100860,2185052)(2090000,2190000)	chr1	2140000	192	0.077700
(12279,12522)(2100860,2199968)(2100000,2200000)	chr1	2150000	245	0.075320
(12296,12564)(2111874,2206414)(2110000,2210000)	chr1	2160000	270	0.076090
(12315,12661)(2125917,2219979)(2120000,2220000)	chr1	2170000	348	0.072519
(12338,12727)(2131491,2229928)(2130000,2230000)	chr1	2180000	391	0.080026
(12352,12944)(2140875,2239967)(2140000,2240000)	chr1	2190000	594	0.081455
(12391,13128)(2150008,2249964)(2150000,2250000)	chr1	2200000	739	0.075210
(12467,13263)(2167699,2259974)(2160000,2260000)	chr1	2210000	798	0.074087
(12468,13446)(2175536,2269445)(2170000,2270000)	chr1	2220000	980	0.075550
(12469,13476)(2185052,2273651)(2180000,2280000)	chr1	2230000	1009	0.075738
(12470,13536)(2193975,2289932)(2190000,2290000)	chr1	2240000	1068	0.075528
(12523,13658)(2200220,2299998)(2200000,2300000)	chr1	2250000	1137	0.072859
(12565,13734)(2211533,2309936)(2210000,2310000)	chr1	2260000	1171	0.071231
(12662,13852)(2220028,2319988)(2220000,2320000)	chr1	2270000	1192	0.070177
(12728,13946)(2230019,2329860)(2230000,2330000)	chr1	2280000	1220	0.068914
(12945,13980)(2240019,2339428)(2240000,2340000)	chr1	2290000	1037	0.065535
(13129,14058)(2250027,2349937)(2250000,2350000)	chr1	2300000	931	0.074399
(13264,14196)(2260073,2359659)(2260000,2360000)	chr1	2310000	934	0.072738
(13447,14224)(2270111,2369704)(2270000,2370000)	chr1	2320000	779	0.072914
(13477,14302)(2281783,2379920)(2280000,2380000)	chr1	2330000	827	0.072868
(13537,14328)(2290003,2384848)(2290000,2390000)	chr1	2340000	793	0.072534
(13659,14392)(2300042,2399377)(2300000,2400000)	chr1	2350000	735	0.078118
(13735,14420)(2311403,2405005)(2310000,2410000)	chr1	2360000	687	0.081032
(13853,14470)(2320022,2419938)(2320000,2420000)	chr1	2370000	619	0.084278
(13947,14648)(2335889,2429984)(2330000,2430000)	chr1	2380000	703	0.076303
(13981,14713)(2340355,2437096)(2340000,2440000)	chr1	2390000	734	0.076466
(14059,14713)(2350059,2437096)(2350000,2450000)	chr1	2400000	656	0.068484
(14197,14713)(2360015,2437096)(2360000,2460000)	chr1	2410000	518	0.069222
(14225,14713)(2370331,2437096)(2370000,2470000)	chr1	2420000	490	0.065062
(14303,14869)(2380780,2479993)(2380000,2480000)	chr1	2430000	568	0.056984
(14329,14946)(2390427,2489887)(2390000,2490000)	chr1	2440000	619	0.056944
(14393,14953)(2400359,2492412)(2400000,2500000)	chr1	2450000	562	0.053989
(14421,14954)(2414603,2500992)(2410000,2510000)	chr1	2460000	535	0.052483
(14471,14954)(2420022,2500992)(2420000,2520000)	chr1	2470000	485	0.052702
(14649,14959)(2430059,2529402)(2430000,2530000)	chr1	2480000	312	0.054211
(14714,14967)(2470697,2533919)(2440000,2540000)	chr1	2490000	255	0.050413
(14714,14973)(2470697,2543252)(2450000,2550000)	chr1	2500000	261	0.051578
(14714,14974)(2470697,2550863)(2460000,2560000)	chr1	2510000	262	0.051616
(14714,14976)(2470697,2569577)(2470000,2570000)	chr1	2520000	264	0.051620
(14870,14986)(2480142,2578757)(2480000,2580000)	chr1	2530000	118	0.064795
(14947,15026)(2490322,2583062)(2490000,2590000)	chr1	2540000	81	0.062534
(14954,15035)(2500992,2596830)(2500000,2600000)	chr1	2550000	83	0.055746
(14955,15036)(2528281,2600377)(2510000,2610000)	chr1	2560000	83	0.056540
(14955,15039)(2528281,2613501)(2520000,2620000)	chr1	2570000	86	0.057696
(14960,15039)(2531644,2613501)(2530000,2630000)	chr1	2580000	81	0.056272
(14968,15043)(2541165,2639207)(2540000,2640000)	chr1	2590000	77	0.054515
(14974,15043)(2550863,2639207)(2550000,2650000)	chr1	2600000	71	0.050728
(14975,15043)(2561049,2639207)(2560000,2660000)	chr1	2610000	70	0.050571
(14977,15043)(2575816,2639207)(2570000,2670000)	chr1	2620000	68	0.050520
(14987,15043)(2580443,2639207)(2580000,2680000)	chr1	2630000	58	0.049904
(15027,15049)(2595612,2686396)(2590000,2690000)	chr1	2640000	24	0.062685
(15036,15054)(2600377,2697782)(2600000,2700000)	chr1	2650000	20	0.069709
(15037,15073)(2613440,2707719)(2610000,2710000)	chr1	2660000	38	0.048780
(15040,15073)(2638818,2707719)(2620000,2720000)	chr1	2670000	35	0.045395
(15040,15096)(2638818,2728174)(2630000,2730000)	chr1	2680000	58	0.067869
(15044,15096)(2682581,2728174)(2640000,2740000)	chr1	2690000	54	0.069424
(15044,15096)(2682581,2728174)(2650000,2750000)	chr1	2700000	54	0.069424
(15044,15096)(2682581,2728174)(2660000,2760000)	chr1	2710000	54	0.069424
(15044,15141)(2682581,2769663)(2670000,2770000)	chr1	2720000	99	0.069782
(15044,15223)(2682581,2779951)(2680000,2780000)	chr1	2730000	181	0.070302
(15050,15380)(2690607,2789933)(2690000,2790000)	chr1	2740000	332	0.068637
(15055,15491)(2705771,2798013)(2700000,2800000)	chr1	2750000	438	0.071756
(15074,15628)(2726721,2809971)(2710000,2810000)	chr1	2760000	556	0.069920
(15074,15768)(2726721,2819952)(2720000,2820000)	chr1	2770000	696	0.069420
(15097,15880)(2766279,2829978)(2730000,2830000)	chr1	2780000	785	0.070871
(15097,15993)(2766279,2839995)(2740000,2840000)	chr1	2790000	898	0.072871
(15097,16104)(2766279,2849983)(2750000,2850000)	chr1	2800000	1009	0.073729
(15097,16173)(2766279,2859787)(2760000,2860000)	chr1	2810000	1078	0.072635
(15142,16270)(2776002,2869461)(2770000,2870000)	chr1	2820000	1130	0.072553
(15224,16276)(2780062,2878014)(2780000,2880000)	chr1	2830000	1054	0.072837
(15381,16337)(2790004,2889992)(2790000,2890000)	chr1	2840000	958	0.075764
(15492,16518)(2801158,2899994)(2800000,2900000)	chr1	2850000	1028	0.077479
(15629,16547)(2810084,2909154)(2810000,2910000)	chr1	2860000	920	0.079594
(15769,16548)(2820130,2912894)(2820000,2920000)	chr1	2870000	781	0.081913
(15881,16551)(2830014,2922049)(2830000,2930000)	chr1	2880000	672	0.080709
(15994,16551)(2840081,2922049)(2840000,2940000)	chr1	2890000	559	0.079262
(16105,16551)(2850015,2922049)(2850000,2950000)	chr1	2900000	448	0.078714
(16174,16551)(2860140,2922049)(2860000,2960000)	chr1	2910000	379	0.082908
(16271,16551)(2870260,2922049)(2870000,2970000)	chr1	2920000	282	0.087160
(16277,16551)(2881533,2922049)(2880000,2980000)	chr1	2930000	276	0.086939
(16338,16566)(2890305,2987556)(2890000,2990000)	chr1	2940000	230	0.080550
(16519,16569)(2900018,2994443)(2900000,3000000)	chr1	2950000	52	0.052573
(16548,16571)(2912894,3003927)(2910000,3010000)	chr1	2960000	25	0.056787
(16549,16579)(2921881,3010800)(2920000,3020000)	chr1	2970000	32	0.048334
(16552,16579)(2980955,3010800)(2930000,3030000)	chr1	2980000	29	0.051960
(16552,16579)(2980955,3010800)(2940000,3040000)	chr1	2990000	29	0.051960
(16552,16579)(2980955,3010800)(2950000,3050000)	chr1	3000000	29	0.051960
(16552,16585)(2980955,3059957)(2960000,3060000)	chr1	3010000	35	0.063189
(16552,16599)(2980955,3069774)(2970000,3070000)	chr1	3020000	49	0.066233
(16552,16602)(2980955,3076535)(2980000,3080000)	chr1	3030000	52	0.064242
(16567,16603)(2991843,3087928)(2990000,3090000)	chr1	3040000	38	0.067535
(16570,16603)(3003817,3087928)(3000000,3100000)	chr1	3050000	35	0.066012
(16572,16603)(3010526,3087928)(3010000,3110000)	chr1	3060000	33	0.067519
(16580,16603)(3059053,3087928)(3020000,3120000)	chr1	3070000	25	0.076659
(16580,16612)(3059053,3128603)(3030000,3130000)	chr1	3080000	34	0.074653
(16580,16612)(3059053,3128603)(3040000,3140000)	chr1	3090000	34	0.074653
(16580,16616)(3059053,3144429)(3050000,3150000)	chr1	3100000	38	0.070144
(16586,16616)(3060211,3144429)(3060000,3160000)	chr1	3110000	32	0.062066
(16600,16616)(3074751,3144429)(3070000,3170000)	chr1	3120000	18	0.051163
(16603,16616)(3087928,3144429)(3080000,3180000)	chr1	3130000	15	0.056510
(16604,16616)(3125807,3144429)(3090000,3190000)	chr1	3140000	14	0.056269
(16604,16618)(3125807,3191490)(3100000,3200000)	chr1	3150000	16	0.059605
(16604,16621)(3125807,3202951)(3110000,3210000)	chr1	3160000	19	0.060348
(16604,16621)(3125807,3202951)(3120000,3220000)	chr1	3170000	19	0.060348
(16613,16621)(3144215,3202951)(3130000,3230000)	chr1	3180000	10	0.054275
(16613,16621)(3144215,3202951)(3140000,3240000)	chr1	3190000	10	0.054275
(16617,16625)(3191246,3241202)(3150000,3250000)	chr1	3200000	10	0.073874
(16617,16627)(3191246,3259739)(3160000,3260000)	chr1	3210000	12	0.080306
(16617,16635)(3191246,3268637)(3170000,3270000)	chr1	3220000	20	0.111269
(16617,16635)(3191246,3268637)(3180000,3280000)	chr1	3230000	20	0.111269
(16617,16635)(3191246,3268637)(3190000,3290000)	chr1	3240000	20	0.111269
(16619,16635)(3202518,3268637)(3200000,3300000)	chr1	3250000	18	0.115239
(16622,16635)(3240792,3268637)(3210000,3310000)	chr1	3260000	15	0.124618
(16622,16637)(3240792,3311392)(3220000,3320000)	chr1	3270000	17	0.115807
(16622,16637)(3240792,3311392)(3230000,3330000)	chr1	3280000	17	0.115807
(16622,16637)(3240792,3311392)(3240000,3340000)	chr1	3290000	17	0.115807
(16626,16637)(3259658,3311392)(3250000,3350000)	chr1	3300000	13	0.127957
(16628,16637)(3262686,3311392)(3260000,3360000)	chr1	3310000	11	0.132316
(16636,16637)(3311384,3311392)(3270000,3370000)	chr1	3320000	3	0.054358
(16636,16639)(3311384,3370669)(3280000,3380000)	chr1	3330000	5	0.144473
(16636,16640)(3311384,3388610)(3290000,3390000)	chr1	3340000	6	0.174337
(16636,16640)(3311384,3388610)(3300000,3400000)	chr1	3350000	6	0.174337
(16636,16640)(3311384,3388610)(3310000,3410000)	chr1	3360000	6	0.174337
(16638,16640)(3370374,3388610)(3320000,3420000)	chr1	3370000	4	0.263034
(16638,16644)(3370374,3429771)(3330000,3430000)	chr1	3380000	8	0.135675
(16638,16655)(3370374,3438581)(3340000,3440000)	chr1	3390000	19	0.171195
(16638,16660)(3370374,3445113)(3350000,3450000)	chr1	3400000	24	0.155639
(16638,16661)(3370374,3453810)(3360000,3460000)	chr1	3410000	25	0.157889
(16638,16661)(3370374,3453810)(3370000,3470000)	chr1	3420000	25	0.157889
(16640,16671)(3388610,3478432)(3380000,3480000)	chr1	3430000	33	0.137553
(16641,16677)(3427485,3485947)(3390000,3490000)	chr1	3440000	38	0.128693
(16641,16677)(3427485,3485947)(3400000,3500000)	chr1	3450000	38	0.128693
(16641,16688)(3427485,3501907)(3410000,3510000)	chr1	3460000	49	0.106063
(16641,16688)(3427485,3501907)(3420000,3520000)	chr1	3470000	49	0.106063
(16645,16689)(3430014,3524731)(3430000,3530000)	chr1	3480000	46	0.109959
(16656,16689)(3444745,3524731)(3440000,3540000)	chr1	3490000	35	0.078812
(16661,16689)(3453810,3524731)(3450000,3550000)	chr1	3500000	30	0.077321
(16662,16689)(3473970,3524731)(3460000,3560000)	chr1	3510000	29	0.071954
(16662,16689)(3473970,3524731)(3470000,3570000)	chr1	3520000	29	0.071954
(16672,16689)(3481313,3524731)(3480000,3580000)	chr1	3530000	19	0.055496
(16678,16689)(3501284,3524731)(3490000,3590000)	chr1	3540000	13	0.029553
(16678,16692)(3501284,3595238)(3500000,3600000)	chr1	3550000	16	0.033109
(16689,16692)(3524731,3595238)(3510000,3610000)	chr1	3560000	5	0.044504
(16689,16692)(3524731,3595238)(3520000,3620000)	chr1	3570000	5	0.044504
